Timestamp,Temperature (°C),Vibration (mm/s),Pressure (bar),Flow Rate (L/min),Efficiency (%)
2024-01-01 20:52:00,77.94218090120154,0.4355410021677365,3.285961976243364,391.7740546708825,91.0998401863329
2024-01-04 06:04:00,77.18753101736519,1.4615592421041188,2.1529050080634207,112.83606576632278,67.51603300443959
2024-01-02 04:51:00,72.11328992145833,3.2678674700997314,2.9445642159116434,252.6054500846958,94.39010312410176
2024-01-04 07:02:00,67.45003414710396,1.528595079717094,1.9747629864169236,213.30604021325436,82.08231600322115
2024-01-04 03:21:00,91.4388059369437,1.623124271675998,3.1180824564531227,318.4413690997483,83.22737799942706
2024-01-01 22:20:00,74.29425163828597,4.1239526404864835,2.8554839824098357,408.38847713611733,92.62520087611563
2024-01-01 09:36:00,73.3713055340869,1.4494623074320832,3.012407984630804,152.23529327604032,72.28984261861913
2024-01-01 03:22:00,75.5666723195265,1.2138228258005888,2.3790735371843574,290.06679994686476,71.36181782798697
2024-01-01 22:43:00,73.78635705344486,2.96617361463155,3.2591291304396997,152.13089272107067,76.0970319937387
2024-01-01 07:19:00,75.61364453852742,1.4865389207782673,2.248024847746615,415.9891761108139,61.7992292516783
2024-01-02 21:50:00,81.43473643058209,2.129760079548993,2.701790100097848,414.0062259806701,70.47623824981946
2024-01-02 17:27:00,74.37725760156788,7.038941989439859,2.7801442284858755,232.28602008309443,
2024-01-01 04:32:00,69.18644780336119,2.698121347988156,3.404502771945058,231.22009003018326,64.12001611587242
2024-01-01 10:53:00,74.19178102760695,2.1671580055283433,1.769045378323574,339.69547094009863,76.1724731034911
2024-01-03 18:39:00,72.67799109295045,4.837964907644684,1.7712102942933043,498.9121047691339,84.41017503445936
2024-01-01 17:13:00,82.11949468623426,0.2533683599805815,2.424102833334208,492.2079676013299,83.70384149742375
2024-01-01 09:42:00,80.85559532368785,5.254111703677392,3.335751239331283,226.26878720145402,92.75527318594503
2024-01-04 10:10:00,75.53762500215399,0.23891124619646784,1.5433702159428153,431.8337356413862,76.67493680873896
2024-01-02 10:11:00,68.60632072590371,6.835568616082544,2.0525512145979663,226.19261490004368,65.73426861980357
2024-01-03 04:38:00,68.87053868280027,0.6444628913497181,2.067172648154621,304.5817735419784,81.01045145148488
2024-01-04 09:36:00,75.07561630792277,2.5574953340038222,2.109905205603779,112.68569806933596,74.69827154317761
2024-01-02 13:29:00,76.68161484660641,0.6101001042906402,1.5494099382263542,476.16741802155093,90.35629577743201
2024-01-04 05:20:00,73.12688590336973,4.472497560783272,3.1512126666609364,393.89799822976045,65.97673523876627
2024-01-04 02:45:00,72.59915207896383,5.146462871242953,1.5178189053201543,446.145852729338,59.57861559820386
2024-01-04 10:27:00,72.03600383410676,4.924158522371595,2.4554079079857942,323.17124293380704,67.94195008520468
2024-01-04 10:00:00,74.88303019878028,1.2871865492614243,1.6127180460789723,126.18288060596697,68.45966333537048
2024-01-02 08:43:00,63.08618823963467,3.351100516265813,3.0972880592580747,275.66476340094493,84.33137303175081
2024-01-03 06:03:00,69.49336685615145,6.89411368832193,2.993171673968658,246.9415969426424,77.62709929473861
2024-01-02 02:30:00,71.86474577276324,2.1209143005843187,2.9430617233294303,306.12654463663046,
2024-01-03 16:07:00,81.0375159747596,2.1662305125313024,2.9725298882169824,184.09015646987558,66.67757976761023
2024-01-01 05:21:00,70.93093179035536,3.6340847511051,3.3804791101990808,280.6595177182483,64.74365775248057
